benchmark,run,result
orders,baseline,5352
orders,task2,5352
orders,inline_all,5021
orders,inline_optimal_ic,4926
orders,inline_autotuner_ic_1,4926
orders,inline_fn_size_10,4927
orders,inline_fn_size_20,5021
orders,inline_in_loop,5022
orders,inline_single_call_site,4926
orders,inline_arg_constantness,5351
cholesky,baseline,3761
cholesky,task2,3742
cholesky,inline_all,3727
cholesky,inline_optimal_ic,3727
cholesky,inline_autotuner_ic_1,3727
cholesky,inline_fn_size_10,3742
cholesky,inline_fn_size_20,3740
cholesky,inline_in_loop,3738
cholesky,inline_single_call_site,3730
cholesky,inline_arg_constantness,3737
sieve,baseline,3482
sieve,task2,3454
sieve,inline_all,3373
sieve,inline_optimal_ic,3373
sieve,inline_autotuner_ic_1,3373
sieve,inline_fn_size_10,3454
sieve,inline_fn_size_20,3373
sieve,inline_in_loop,3379
sieve,inline_single_call_site,3373
sieve,inline_arg_constantness,3454
mat-inv,baseline,1044
mat-inv,task2,1044
mat-inv,inline_all,901
mat-inv,inline_optimal_ic,901
mat-inv,inline_autotuner_ic_1,901
mat-inv,inline_fn_size_10,906
mat-inv,inline_fn_size_20,904
mat-inv,inline_in_loop,906
mat-inv,inline_single_call_site,1041
mat-inv,inline_arg_constantness,940
primitive-root,baseline,11029
primitive-root,task2,10995
primitive-root,inline_all,9893
primitive-root,inline_optimal_ic,9847
primitive-root,inline_autotuner_ic_1,9847
primitive-root,inline_fn_size_10,9851
primitive-root,inline_fn_size_20,9847
primitive-root,inline_in_loop,11024
primitive-root,inline_single_call_site,10991
primitive-root,inline_arg_constantness,9864
riemann,baseline,298
riemann,task2,298
riemann,inline_all,295
riemann,inline_optimal_ic,274
riemann,inline_autotuner_ic_1,295
riemann,inline_fn_size_10,274
riemann,inline_fn_size_20,288
riemann,inline_in_loop,274
riemann,inline_single_call_site,295
riemann,inline_arg_constantness,295
adler32,baseline,6851
adler32,task2,6851
adler32,inline_all,6787
adler32,inline_optimal_ic,6786
adler32,inline_autotuner_ic_1,6787
adler32,inline_fn_size_10,6787
adler32,inline_fn_size_20,6786
adler32,inline_in_loop,6789
adler32,inline_single_call_site,6849
adler32,inline_arg_constantness,6787
bitshift,baseline,167
bitshift,task2,167
bitshift,inline_all,155
bitshift,inline_optimal_ic,155
bitshift,inline_autotuner_ic_1,155
bitshift,inline_fn_size_10,157
bitshift,inline_fn_size_20,157
bitshift,inline_in_loop,167
bitshift,inline_single_call_site,157
bitshift,inline_arg_constantness,157
adj2csr,baseline,56629
adj2csr,task2,56629
adj2csr,inline_all,55595
adj2csr,inline_optimal_ic,55595
adj2csr,inline_autotuner_ic_1,55595
adj2csr,inline_fn_size_10,56629
adj2csr,inline_fn_size_20,55597
adj2csr,inline_in_loop,55605
adj2csr,inline_single_call_site,55603
adj2csr,inline_arg_constantness,55605
csrmv,baseline,121202
csrmv,task2,120652
csrmv,inline_all,118886
csrmv,inline_optimal_ic,118886
csrmv,inline_autotuner_ic_1,118886
csrmv,inline_fn_size_10,119202
csrmv,inline_fn_size_20,118890
csrmv,inline_in_loop,119802
csrmv,inline_single_call_site,120646
csrmv,inline_arg_constantness,120102
quicksort-hoare,baseline,27333
quicksort-hoare,task2,27333
quicksort-hoare,inline_all,26266
quicksort-hoare,inline_optimal_ic,26036
quicksort-hoare,inline_autotuner_ic_1,26036
quicksort-hoare,inline_fn_size_10,26436
quicksort-hoare,inline_fn_size_20,26181
quicksort-hoare,inline_in_loop,26371
quicksort-hoare,inline_single_call_site,27238
quicksort-hoare,inline_arg_constantness,27078
